7_1	What are the different types of macromolecules?	What are the different types of macromolecules?
7_2	Tell me about the characteristics of carbohydrates.	Tell me about the characteristics of carbohydrates.
7_3	What are they composed of?	What are carbohydrates composed of?
7_4	What is their basic structure?	What is carbohydrates's basic structure?
7_5	What are the main types with examples of each?	What are the main types with examples of each?
7_6	Tell me about lipids.	Tell me about lipids.
7_7	What is their function?	What is lipids's function?
7_8	What are the types of lipids?	What are the types of lipids?
7_9	What is the most common?	What is the most common?
7_10	What is the difference between them and carbohydrates?	What is the difference between lipids and carbohydrates?
7_11	Why are carbs better?	Why are carbs better?
