63_1	What is blockchain?	What is blockchain?
63_2	What problem does it solve?	What problem does blockchain solve?
63_3	How does it work?	How does blockchain work?
63_4	What are the types of networks?	What are the types of networks?
63_5	Tell me about its invention.	Tell me about blockchain's invention.
63_6	How is it related to cryptocurrencies?	How is blockchain related to cryptocurrencies?
63_7	How is Bitcoin generated? 	How is Bitcoin generated? 
63_8	How secure is blockchain?	How secure is blockchain?
63_9	What are its other uses in business?	What are blockchain's other uses in business?
63_10	What are the implications for society?	What are the implications for society?
