73_1	Who is the most successful pirate of all time?	Who is the most successful pirate of all time?
73_2	Who is the most famous female?	Who is the most famous female?
73_3	Tell me more about Ching Shih.	Tell me more about Ching Shih.
73_4	What were her code of laws?	What were Ching Shih's code of laws?
73_5	How did she die?	How did Ching Shih die?
73_6	Who was Anne Bonny?	Who was Anne Bonny?
73_7	What was she famous for?	What was Anne Bonny famous for?
73_8	Who was she married to?	Who was Anne Bonny married to?
73_9	How did Calico Jack die?	How did Calico Jack die?
73_10	What happened to Anne?	What happened to Anne Bonny?
