67_1	Why is blood red?	Why is blood red?
67_2	What are red blood cells?	What are red blood cells?
67_3	How are they created?	How are red blood cells created?
67_4	How is oxygen transported?	How is oxygen transported?
67_5	What is anemia?	What is anemia?
67_6	What are the symptoms?	What are the symptoms?
67_7	Can it go away?	Can it go away?
67_8	What are its possible causes?	What are anemia's possible causes?
67_9	How is it treated?	How is anemia treated?
67_10	What foods contain high levels of iron?	What foods contain high levels of iron?
67_11	What improves absorption?	What improves absorption?
