1_1	What is a physician's assistant?	What is a physician's assistant?
1_2	What are the educational requirements required to become one?	What are the educational requirements required to become a physician's assistant?
1_3	What does it cost?	What does become cost?
1_4	What's the average starting salary in the UK?	What's the average starting salary in the UK?
1_5	What about in the US?	What about in the US?
1_6	What school subjects are needed to become a registered nurse?	What school subjects are needed to become a registered nurse?
1_7	What is the PA average salary vs an RN?	What is the PA average salary vs an RN?
1_8	What the difference between a PA and a nurse practitioner?	What the difference between a PA and a nurse practitioner?
1_9	Do NPs or PAs make more?	Do NPs or PAs make more?
1_10	Is a PA above a NP?	Is a PA above a NP?
1_11	What is the fastest way to become a NP?	What is the fastest way to become a NP?
1_12	How much longer does it take to become a doctor after being an NP?	How much longer does it take to become a doctor after being an NP?
