33_1	Tell me about the Neverending Story film.	Tell me about the Neverending Story film.
33_2	What is it about?	What is the Neverending Story film about?
33_3	How was it received?	How was the Neverending Story film received?
33_4	Did it win any awards?	Did the Neverending Story film win any awards?
33_5	Was it a book first?	Was the Neverending Story film a book first?
33_6	Who was the author and when what it published?	Who was the author and when what the Neverending Story film published?
33_7	What are the main themes?	What are the main themes?
33_8	Who are the main characters?	Who are the main characters?
33_9	What are the differences between the book and movies?	What are the differences between the book and movies?
33_10	Did the horse Artax really die?	Did the horse Artax really die?
