2_1	What are the main breeds of goat?	What are the main breeds of goat?
2_2	Tell me about boer goats.	Tell me about boer goats.
2_3	What breed is good for meat?	What breed is good for meat?
2_4	Are angora goats good for it?	Are angora goats good for meat?
2_5	What about boer goats?	What about boer goats?
2_6	What are pygmies used for?	What are pygmies used for?
2_7	What is the best for fiber production?	What is the best for fiber production?
2_8	How long do Angora goats live?	How long do angora goats live?
2_9	Can you milk them?	Can you milk angora goats?
2_10	How many can you have per acre?	How many can you have per acre?
2_11	Are they profitable?	Are angora goats profitable?
